,wIG,wEAA,wENT,wRNAP,wAF,wRNase,wrP,prot_fraction,name
0.015EGM10,0.0017178502692879682,0.596525210539873,0.04431053298188528,0.12285233095210508,0.19999137063492067,0.026744287554793942,0.007858417067132658,0.015,R_deg_noact
0.02EGM1,0.0017161058307041564,0.596441972025215,0.04390848601260825,0.1217470971190116,0.19920334441797452,0.02649952291835036,0.010483471676132193,0.02,R_deg_noact
0.02EGM2,0.0017161058307041666,0.5964419720252185,0.04390848601260852,0.12184620718600482,0.19911619206349282,0.026487565205841015,0.010483471676132257,0.02,R_deg_noact
0.02EGM3,0.0017161058307041666,0.5964419720252185,0.04390848601260852,0.12169383221928692,0.19926856703021067,0.026487565205841012,0.010483471676132257,0.02,R_deg_noact
0.02EGM4,0.001716758265223222,0.5965403520867584,0.043957676043380224,0.12169798465916877,0.19911619206349135,0.02648756520584082,0.01048347167613218,0.02,R_deg_noact
0.02EGM5,0.0017161058307041562,0.596441972025215,0.04390848601260825,0.12169383221928619,0.19911619206349154,0.02663994017255875,0.010483471676132195,0.02,R_deg_noact
0.02EGM6,0.0017157534510361461,0.5962838830981183,0.04390848601260877,0.12169383221928763,0.19911619206349393,0.02648756520584117,0.010483471676132316,0.02,R_deg_noact
0.02EGM7,0.0017161058307041557,0.5964419720252148,0.04390848601260825,0.12169383221928617,0.1991161920634916,0.02648756520584085,0.010635846642850087,0.02,R_deg_noact
0.02EGM8,0.001868480797422064,0.5964419720252184,0.04390848601260852,0.12169383221928692,0.1991161920634928,0.026487565205841012,0.010483471676132257,0.02,R_deg_noact
0.02EGM9,0.0017161058307041562,0.5965943469919328,0.04390848601260825,0.12169383221928619,0.19911619206349154,0.026487565205840852,0.010483471676132195,0.02,R_deg_noact
0.02EGM10,0.0017161058307041562,0.596441972025215,0.04406086097932615,0.12169383221928619,0.19911619206349154,0.026487565205840852,0.010483471676132195,0.02,R_deg_noact
0.025EGM1,0.0017143553936427051,0.5963578290050779,0.0437309978358712,0.12056575361089669,0.1982820661443014,0.026237680598437233,0.013111317411776187,0.025,R_deg_noact
