,wIG,wEAA,wENT,wRNAP,wAF,wRNase,wrP,prot_fraction,name
0.01EGM10,0.0009004811902720631,0.33338734036758955,0.017982409500271412,0.5773781717630576,0.05891553179736183,0.007827302814239443,0.0036087625672083343,0.01,R_deg_hill2_glc
0.015EGM1,0.0009003171291760136,0.3335424056672847,0.017812869500308717,0.5755022633925853,0.05902220650390383,0.00780186843832263,0.005418069368420164,0.015,R_deg_hill2_glc
0.015EGM2,0.0009003171291760135,0.3335424056672847,0.01781286950030872,0.5755601261203162,0.05897135626434101,0.007794855950154484,0.0054180693684201635,0.015,R_deg_hill2_glc
0.015EGM3,0.0009003171291760105,0.33354240566728355,0.017812869500308658,0.5750064427566584,0.05952503962799664,0.007794855950154457,0.005418069368420146,0.015,R_deg_hill2_glc
0.015EGM4,0.0009020041180796841,0.3337967853288697,0.017940059331101772,0.5751768696390309,0.05897135626434079,0.0077948559501544515,0.0054180693684201435,0.015,R_deg_hill2_glc
0.015EGM5,0.0009003171291760105,0.33354240566728355,0.017812869500308658,0.5750064427566584,0.058971356264340816,0.00834853931381029,0.005418069368420146,0.015,R_deg_hill2_glc
0.015EGM6,0.0008997929400993171,0.33330723747725366,0.017812869500308758,0.5750064427566616,0.058971356264341156,0.007794855950154501,0.005418069368420176,0.015,R_deg_hill2_glc
0.015EGM7,0.0009003171291760105,0.33354240566728355,0.017812869500308658,0.5750064427566584,0.058971356264340816,0.007794855950154457,0.005971752732075978,0.015,R_deg_hill2_glc
0.015EGM8,0.0014540004928318441,0.33354240566728355,0.017812869500308654,0.5750064427566582,0.05897135626434081,0.007794855950154457,0.005418069368420145,0.015,R_deg_hill2_glc
0.015EGM9,0.0009003171291760105,0.3340960890309395,0.017812869500308658,0.5750064427566584,0.058971356264340816,0.007794855950154457,0.005418069368420146,0.015,R_deg_hill2_glc
0.015EGM10,0.0009003171291760105,0.33354240566728355,0.01836655286396449,0.5750064427566584,0.058971356264340816,0.007794855950154457,0.005418069368420146,0.015,R_deg_hill2_glc
0.02EGM1,0.0009011807534420613,0.33403223872948345,0.017786952698074343,0.5731879896568491,0.05908478259419517,0.007769628363112548,0.007237227204847316,0.02,R_deg_hill2_glc
0.02EGM2,0.0009011807534420582,0.33403223872948234,0.017786952698074284,0.5731900291979615,0.05908298912542247,0.007769382290770548,0.0072372272048472925,0.02,R_deg_hill2_glc
0.02EGM3,0.0009011807534420582,0.33403223872948234,0.017786952698074284,0.573170591018567,0.05910242730481712,0.007769382290770548,0.007237227204847291,0.02,R_deg_hill2_glc
0.02EGM4,0.0009012399786149639,0.33404116924432387,0.01779141795549475,0.5731765742005287,0.0590829891254226,0.007769382290770565,0.0072372272048473055,0.02,R_deg_hill2_glc
