,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.17EGM6,0.0,1.7828995901899383e-17,5.3045352027394213e-17,0.0,0.0,0.0016390090020576157,0.2638536609672056,0.052552170016603145,0.029587483200000025,0.13998898674600949,0.5123786900681249,2.715,EGM6,0.17
0.17EGM7,0.0,3.5657991803798765e-17,5.3045352027394213e-17,0.0,0.0,0.0016390090020576159,0.2638536609672056,0.183970720939182,0.029587483200000025,0.008570435823430604,0.5123786900681249,2.715,EGM7,0.17
0.17EGM8,-1.7665427132157186e-16,3.5657991803798765e-17,-5.3045352027394213e-17,0.0003107914681839175,0.0,0.13293020073394574,0.26381006275000046,0.05257424250000005,0.029587483200000025,0.008567772205098063,0.5122194471427726,2.715,EGM8,0.17
0.17EGM9,0.0,-1.7828995901899383e-17,-5.3045352027394213e-17,0.0,0.0,0.0016390090020576157,0.2638536609672056,0.18398314278685177,0.029575061352330262,0.008570435823430603,0.512378690068125,2.715,EGM9,0.17
0.17EGM10,0.0,-5.348698770569815e-17,-5.3045352027394213e-17,0.0,0.0,0.0016390090020576157,0.39528463373745415,0.052552170016603145,0.029575061352330262,0.008570435823430603,0.512378690068125,2.715,EGM10,0.17
0.17EGM11,-1.7665427132157186e-16,3.5657991803798765e-17,-5.3045352027394213e-17,0.0003107914681839175,0.0,0.0016390090020576157,0.26381006275000046,0.18386543423188817,0.029587483200000025,0.008567772205098063,0.5122194471427726,2.715,EGM11,0.17
0.17EGM12,-5.888475710719062e-17,5.348698770569815e-17,0.0,0.0,0.0,0.0016390090020576159,0.39503133510338273,0.05257424250000005,0.029587483200000025,0.008574035499759044,0.5125938946948013,2.715,EGM12,0.17
0.17EGM13,-1.7665427132157186e-16,3.5657991803798765e-17,-5.3045352027394213e-17,0.0003107914681839175,0.0,0.0016390090020576157,0.26381006275000046,0.05257424250000005,0.029587483200000025,0.13985896393698619,0.5122194471427726,2.715,EGM13,0.17
0.17EGM14,-1.7665427132157186e-16,3.5657991803798765e-17,0.0,0.0,0.0,0.0016390090020576157,0.26381006275000046,0.05257424250000004,0.029587483200000025,0.13979530785314132,0.5125938946948013,2.715,EGM14,0.17
0.17EGM15,0.0,3.5657991803798765e-17,5.3045352027394213e-17,0.0,0.13141855092257887,0.0016390090020576159,0.2638536609672056,0.052552170016603145,0.029587483200000025,0.008570435823430604,0.5123786900681249,2.715,EGM15,0.17
