,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.795EGM6,-1.6577990865443512e-16,-2.1903042476767793e-16,0.0,0.0,0.0002556403190733624,0.0016009767489711959,0.3277130938163248,0.01590291581059292,0.0013424651464362962,0.010500578946935893,0.6426843292116662,2.652,EGM6,0.795
0.795EGM7,1.9592171022796877e-16,-1.4602028317845196e-16,0.0,0.0,0.0,0.0018566170680445544,0.32771309381632474,0.015902915810592916,0.0013424651464362962,0.010500578946935893,0.6426843292116662,2.652,EGM7,0.795
0.795EGM8,1.9592171022796877e-16,-1.4602028317845196e-16,0.0,0.0,0.0,0.0016009767489711957,0.3279687341353981,0.015902915810592916,0.0013424651464362962,0.010500578946935893,0.6426843292116662,2.652,EGM8,0.795
0.8EGM1,-4.533235790529939e-17,0.0,0.0,0.0,0.0,0.0015967509430727046,0.3275842004926794,0.015755818323077084,0.0013074621674481802,0.01048246018864136,0.6432733078850819,2.645,EGM1,0.8
0.8EGM2,9.066471581059879e-17,-1.464067262719299e-16,-2.7224599386460358e-17,0.0,0.0,0.0015967509430727049,0.3275714104198213,0.015494743834523312,0.0013080087827007552,0.01048684262720538,0.6435422433926773,2.645,EGM2,0.8
0.8EGM3,-4.533235790529939e-17,-7.320336313596495e-17,0.0,0.0,0.0,0.0015967509430727049,0.32758420049267944,0.015488268600238414,0.0015750118902868526,0.01048246018864136,0.6432733078850819,2.645,EGM3,0.8
0.8EGM4,1.0577550177903193e-16,0.0,0.0,0.0010583469880677693,0.0,0.0015967509430727049,0.32736491330032425,0.015599287197389868,0.0013168339454954995,0.010471366108473172,0.6425925015171774,2.645,EGM4,0.8
0.8EGM5,-4.533235790529939e-17,0.0,0.0,0.0,0.0,0.0015967509430727046,0.3275842004926794,0.015488268600238414,0.0013074621674481802,0.010750009911480033,0.6432733078850819,2.645,EGM5,0.8
0.8EGM6,9.066471581059879e-17,7.320336313596495e-17,0.0,0.0,0.00026754972283870774,0.0015967509430727046,0.3275842004926794,0.015488268600238414,0.0013074621674481802,0.01048246018864136,0.6432733078850817,2.645,EGM6,0.8
0.8EGM7,-4.533235790529939e-17,0.0,0.0,0.0,0.0,0.0018643006659113774,0.3275842004926794,0.015488268600238414,0.0013074621674481802,0.01048246018864136,0.6432733078850819,2.645,EGM7,0.8
0.8EGM8,-4.533235790529939e-17,-7.320336313596495e-17,0.0,0.0,0.0,0.0015967509430727046,0.3278517502155181,0.015488268600238414,0.0013074621674481802,0.01048246018864136,0.6432733078850819,2.645,EGM8,0.8
0.805EGM1,-1.5150882822784548e-17,-1.467952202385347e-16,0.0,0.0,0.0,0.0015925251371742132,0.3274531215644678,0.01536211929625386,0.0012725525956521304,0.0104641803491532,0.6438555010572995,2.638,EGM1,0.805
0.805EGM2,-1.8181059387341458e-16,0.0,0.0,0.0,0.0,0.001592525137174213,0.3274397692465404,0.015081487778884389,0.0012731232398319782,0.010468872747434828,0.6441442218501349,2.638,EGM2,0.805
