,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
0.465EGM2,5.905555555555559,7.513091822316825,1.1336413904666363,0.0002260451936352251,0.0002260451936352251,0.0032897225262752063,0.00022184490575341084,3.3473911057389865e-05,1.3389564422955946e-05,8.009534694474815e-06,0.0002260451936352251,0.465,1.063,EGM2
0.465EGM3,5.905555555555559,7.512383486238538,1.1340000000000001,0.00022611669945892768,0.00022600738819571897,0.003288892954359444,0.0002218239901630992,3.348450000000002e-05,1.3393800000000009e-05,8.008195121734981e-06,0.00022600738819571897,0.465,1.063,EGM3
0.465EGM4,5.905555555555559,7.512383486238538,1.1340000000000001,0.0002261166994589277,0.0002261166994589277,0.003286675086811381,0.0002218239901630992,3.348450000000002e-05,1.3393800000000009e-05,8.012068384161344e-06,0.0002261166994589277,0.465,1.063,EGM4
0.465EGM5,5.90555555555556,7.513091822316825,1.1336413904666363,0.00022604519363522512,0.00022604519363522512,9.68766289437587e-06,0.00022184490575341084,3.3473911057389865e-05,1.3393800000000009e-05,0.000551314074616402,0.00022604519363522512,0.465,1.063,EGM5
0.465EGM6,5.905555555555559,7.513091822316824,1.1336413904666363,0.00022604519363522512,0.00022604519363522512,9.68766289437587e-06,0.00022184490575341084,3.347391105738986e-05,1.3393800000000009e-05,8.009534694474815e-06,0.0003894285835056349,0.465,1.063,EGM6
0.465EGM7,5.905555555555559,7.512383486238538,1.1340000000000001,0.0002261166994589277,0.0002261166994589277,9.687662894375872e-06,0.0002218239901630992,0.0004677273463282842,1.3393800000000009e-05,8.012068384161344e-06,0.0002261166994589277,0.465,1.063,EGM7
0.465EGM8,5.905555555555559,7.512383486238538,1.1340000000000001,0.0002261166994589277,0.0002261166994589277,9.687662894375872e-06,0.0002218239901630992,3.348450000000002e-05,1.3393800000000009e-05,8.012068384161344e-06,0.000389349433236299,0.465,1.063,EGM8
0.465EGM9,5.905555555555559,7.513091822316825,1.1336413904666363,0.0002260451936352251,0.0002260451936352251,9.687662894375872e-06,0.00022184490575341084,3.3473911057389865e-05,1.3389564422955946e-05,0.0005513178736031969,0.0002260451936352251,0.465,1.063,EGM9
0.465EGM10,5.905555555555559,7.512383486238538,1.1340000000000001,0.00022611669945892768,0.00022600738819571897,9.68766289437587e-06,0.0002218239901630992,3.348450000000002e-05,1.3393800000000009e-05,8.008195121734981e-06,0.0003893505980098257,0.465,1.063,EGM10
0.465EGM11,5.905555555555559,7.513091822316825,1.1336413904666363,0.0002260451936352251,0.0002260451936352251,9.687662894375872e-06,0.0006564915768803886,3.3473911057389865e-05,1.3389564422955946e-05,8.009534694474815e-06,0.0002260451936352251,0.465,1.063,EGM11
0.465EGM12,5.905555555555559,7.513091822316825,1.1336413904666363,0.0002260451936352251,0.0002260451936352251,9.687662894375872e-06,0.00022184490575341084,0.0004681205821843676,1.3389564422955946e-05,8.009534694474815e-06,0.0002260451936352251,0.465,1.063,EGM12
0.465EGM13,5.905555555555559,7.513091822316824,1.1336413904666363,0.00022604519363522512,0.00022604519363522512,0.0032896995912156082,0.00022184490575341084,3.347391105738986e-05,1.3393800000000009e-05,8.009534694474815e-06,0.00022604519363522512,0.465,1.063,EGM13
0.465EGM14,5.905555555555559,7.512383486238538,1.1340000000000001,0.00022611669945892768,0.00022600738819571897,9.68766289437587e-06,0.0002218239901630992,3.348450000000002e-05,1.3393800000000009e-05,0.0005511791228874874,0.00022600738819571897,0.465,1.063,EGM14
0.465EGM15,5.905555555555559,7.512383486238538,1.1340000000000001,0.00022611669945892768,0.00022600738819571897,9.68766289437587e-06,0.0002218239901630992,0.00046802124221260186,1.3393800000000009e-05,8.008195121734981e-06,0.00022600738819571897,0.465,1.063,EGM15
0.465EGM16,5.905555555555559,7.512383486238538,1.1340000000000001,0.00022611669945892768,0.00022600738819571897,9.68766289437587e-06,0.000656360732375701,3.348450000000002e-05,1.3393800000000009e-05,8.008195121734981e-06,0.00022600738819571897,0.465,1.063,EGM16
0.465EGM17,5.905555555555559,7.513091822316824,1.1336413904666363,0.00022604519363522512,0.00022604519363522512,9.68766289437587e-06,0.0006564885376909526,3.347391105738986e-05,1.3393800000000009e-05,8.009534694474815e-06,0.00022604519363522512,0.465,1.063,EGM17
0.465EGM18,5.90555555555556,7.512383486238538,1.1340000000000001,0.0002261166994589277,0.0002261166994589277,9.68766289437587e-06,0.00022182399016309922,3.348450000000002e-05,1.3393800000000009e-05,0.0005508156262945166,0.0002261166994589277,0.465,1.063,EGM18
0.465EGM19,5.905555555555559,7.512383486238538,1.1340000000000001,0.0002261166994589277,0.0002261166994589277,9.687662894375872e-06,0.0006560668364913834,3.348450000000002e-05,1.3393800000000009e-05,8.012068384161344e-06,0.0002261166994589277,0.465,1.063,EGM19
0.465EGM20,5.905555555555559,7.513091822316824,1.1336413904666363,0.00022604519363522512,0.00022604519363522512,9.68766289437587e-06,0.00022184490575341084,0.0004681175429949316,1.3393800000000009e-05,8.009534694474815e-06,0.00022604519363522512,0.465,1.063,EGM20
0.47EGM1,5.927777777777782,7.549639268220857,1.13371723067314,0.0002281929604687806,0.0002281929604687806,9.76070816186558e-06,0.00022376291942199054,3.3602119031340036e-05,1.3440847612536013e-05,8.116062960672967e-06,0.0003872592193841461,0.47,1.067,EGM1
0.47EGM2,5.927777777777782,7.549639268220857,1.13371723067314,0.0002281929604687806,0.0002281929604687806,9.76070816186558e-06,0.00022376291942199054,0.00046131112065594466,1.3440847612536013e-05,8.116062960672967e-06,0.0002281929604687806,0.47,1.067,EGM2
