,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
0.01EGM1,22.144444444443227,23.841248847647915,6.443585116610117,0.0009177227287293197,0.0009177227287293197,0.00013621567215362017,0.002639756052964427,0.00071344806318907,8.393506625753764e-05,0.00012193475989049557,0.0009177227287293197,0.01,3.986,EGM1
0.01EGM2,22.144444444443227,23.84410788282932,6.442137671952556,0.0009175165775205155,0.0009175165775205155,0.00013621567215362017,0.0026400726116931235,0.0007140592493910991,8.391621163529895e-05,0.00012190736926655246,0.0009175165775205155,0.01,3.986,EGM2
0.01EGM3,22.14444444444323,23.844107882829316,6.4421376719525565,0.0009175165775205155,0.0009175165775205155,0.00013621567215362017,0.0026400726116931235,0.000713287798900041,8.499134632480937e-05,0.00012190736926655246,0.0009175165775205155,0.01,3.986,EGM3
0.01EGM4,22.144444444443227,23.84098668086464,6.443717843871508,0.0009177416323089723,0.0009172686982043758,0.00013621567215362017,0.00263972702527559,0.0007134627590464006,8.393679518192949e-05,0.00012187443436808137,0.0009172686982043758,0.01,3.986,EGM4
0.01EGM5,22.144444444443227,23.844107882829316,6.442137671952556,0.0009175165775205154,0.0009175165775205154,0.00013621567215362014,0.002640072611693123,0.000713287798900041,8.391621163529895e-05,0.00012287168238037487,0.0009175165775205154,0.01,3.986,EGM5
0.01EGM6,22.14444444444323,23.84410788282932,6.442137671952556,0.0009175165775205155,0.0009175165775205155,0.00013621567215362017,0.0026400726116931235,0.000713287798900041,8.391621163529897e-05,0.00012190736926655247,0.0009353395994633812,0.01,3.986,EGM6
0.01EGM7,22.144444444443227,23.84410788282932,6.442137671952556,0.0009175165775205155,0.0009175165775205155,0.0001420373767107524,0.0026400726116931235,0.0007132877989000411,8.391621163529895e-05,0.00012190736926655246,0.0009175165775205155,0.01,3.986,EGM7
0.01EGM8,22.144444444443227,23.84410788282932,6.442137671952556,0.0009175165775205155,0.0009175165775205155,0.00013621567215362017,0.0026408440621841817,0.0007132877989000411,8.391621163529895e-05,0.00012190736926655246,0.0009175165775205155,0.01,3.986,EGM8
0.015EGM1,22.094444444443234,23.834042896795488,6.4054311391039205,0.000916919584379343,0.000916919584379343,0.0001356012431412746,0.0026329996833486242,0.0007076222122281917,8.324967202684608e-05,0.00012155297290254824,0.000916919584379343,0.015,3.977,EGM1
0.015EGM2,22.094444444443234,23.834525196391883,6.405186965132682,0.0009168846315570641,0.0009168846315570641,0.0001356012431412746,0.0026330529640568147,0.0007077262050279925,8.324649856317413e-05,0.00012154833932340814,0.0009168846315570641,0.015,3.977,EGM2
0.015EGM3,22.094444444443237,23.834525196391887,6.405186965132683,0.0009168846315570642,0.0009168846315570642,0.0001356012431412746,0.002633052964056815,0.0007075952377869802,8.34290215191306e-05,0.00012154833932340817,0.0009168846315570642,0.015,3.977,EGM3
0.015EGM4,22.094444444443237,23.833991960091815,6.405456926845213,0.0009169232758225127,0.0009168423786669039,0.0001356012431412746,0.0026329940562577767,0.0007076250610572783,8.32500071832092e-05,0.00012154273799860257,0.0009168423786669039,0.015,3.977,EGM4
0.015EGM5,22.094444444443234,23.834525196391887,6.405186965132683,0.0009168846315570641,0.0009168846315570641,0.0001356012431412746,0.0026330529640568147,0.0007075952377869801,8.324649856317413e-05,0.00012171204837467372,0.0009168846315570641,0.015,3.977,EGM5
0.015EGM6,22.094444444443237,23.834525196391887,6.405186965132684,0.0009168846315570643,0.0009168846315570643,0.00013560124314127462,0.0026330529640568147,0.0007075952377869802,8.324649856317414e-05,0.00012154833932340817,0.0009189018117800495,0.015,3.977,EGM6
0.015EGM7,22.094444444443234,23.834525196391883,6.405186965132682,0.0009168846315570641,0.0009168846315570641,0.00013658957951888403,0.0026330529640568147,0.0007075952377869801,8.324649856317413e-05,0.00012154833932340814,0.0009168846315570641,0.015,3.977,EGM7
0.015EGM8,22.094444444443234,23.834525196391883,6.405186965132682,0.0009168846315570641,0.0009168846315570641,0.0001356012431412746,0.0026331839312978274,0.0007075952377869801,8.324649856317413e-05,0.00012154833932340814,0.0009168846315570641,0.015,3.977,EGM8
0.02EGM1,22.038888888887683,23.81756153959054,6.3673283427051315,0.0009161156084912484,0.0009161156084912484,0.000134920173182427,0.0026245629618764027,0.0007016442093197188,8.254637756702573e-05,0.00012114102062948613,0.0009161156084912484,0.02,3.967,EGM1
0.02EGM2,22.038888888887687,23.820458637512633,6.365861628011643,0.0009159045811731037,0.0009159045811731037,0.000134920173182427,0.0026248822059724295,0.0007022743420167036,8.25273630010484e-05,0.00012111311578378347,0.0009159045811731037,0.02,3.967,EGM2
