,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,prot_fraction,growth_rate,EGVs,name
0.01EGM2,14.577777777777788,17.355907498884456,3.4008642945731364,0.00048436552074223455,0.00048436552074223455,5.903100137174221e-05,0.002530105626504047,0.00024886150862354987,2.916296702274483e-05,4.236583754758748e-05,0.00048436552074223455,0.01,2.6240000000000023,EGM2,RBA_standard
0.01EGM3,14.577777777777788,17.355907498884456,3.4008642945731364,0.00048436552074223455,0.00048436552074223455,5.903100137174221e-05,0.002530105626504047,0.00024788521969333106,3.052357552326416e-05,4.236583754758748e-05,0.00048436552074223455,0.01,2.6240000000000023,EGM3,RBA_standard
0.01EGM4,14.57777777777779,17.350959155075536,3.403369494179139,0.00048472232189824096,0.00048410681574328275,5.90310013717422e-05,0.0025293842679399024,0.00024806782090905745,2.918444951871264e-05,4.234320948367917e-05,0.00048410681574328275,0.01,2.6240000000000023,EGM4,RBA_standard
0.01EGM5,14.57777777777779,17.355907498884456,3.400864294573137,0.00048436552074223455,0.00048436552074223455,5.903100137174221e-05,0.002530105626504047,0.00024788521969333106,2.9162967022744825e-05,4.358619871036099e-05,0.00048436552074223455,0.01,2.6240000000000023,EGM5,RBA_standard
0.01EGM6,14.577777777777788,17.355907498884456,3.4008642945731364,0.00048436552074223455,0.00048436552074223455,5.90310013717422e-05,0.002530105626504047,0.00024788521969333106,2.9162967022744825e-05,4.236583754758748e-05,0.0005069209785811482,0.01,2.6240000000000023,EGM6,RBA_standard
0.01EGM7,14.577777777777788,17.355907498884456,3.4008642945731364,0.00048436552074223455,0.00048436552074223455,6.63985068435946e-05,0.002530105626504047,0.00024788521969333106,2.916296702274483e-05,4.236583754758748e-05,0.00048436552074223455,0.01,2.6240000000000023,EGM7,RBA_standard
0.01EGM8,14.577777777777788,17.355907498884456,3.4008642945731364,0.00048436552074223455,0.00048436552074223455,5.903100137174221e-05,0.002531081915434266,0.00024788521969333106,2.916296702274483e-05,4.236583754758748e-05,0.00048436552074223455,0.01,2.6240000000000023,EGM8,RBA_standard
0.015EGM1,14.550000000000011,17.343552558018214,3.3838958252485676,0.00048439523995943957,0.00048439523995943957,5.8806250000000105e-05,0.0025234868971916527,0.0002461784212868335,2.8962167210215707e-05,4.228770444845911e-05,0.00048439523995943957,0.015,2.6190000000000024,EGM1,RBA_standard
0.015EGM2,14.550000000000013,17.349912998373178,3.380675723071647,0.0004839342913229464,0.0004839342913229464,5.88062500000001e-05,0.0025244123412632995,0.00024730011243207536,2.893460692393677e-05,4.2247463632493255e-05,0.0004839342913229464,0.015,2.6190000000000024,EGM2,RBA_standard
0.015EGM3,14.550000000000013,17.349912998373178,3.380675723071647,0.0004839342913229464,0.0004839342913229464,5.88062500000001e-05,0.0025244123412632995,0.00024594415885346256,3.082433639670341e-05,4.2247463632493255e-05,0.0004839342913229464,0.015,2.6190000000000024,EGM3,RBA_standard
0.015EGM4,14.550000000000013,17.343008485107468,3.384171273215457,0.0004844346695668827,0.00048357400341197374,5.8806250000000105e-05,0.0025234077345831388,0.00024619846012642474,2.8964524720755855e-05,4.2216010497865344e-05,0.00048357400341197374,0.015,2.6190000000000024,EGM4,RBA_standard
0.015EGM5,14.550000000000013,17.349912998373178,3.380675723071647,0.00048393429132294644,0.00048393429132294644,5.8806250000000105e-05,0.0025244123412633,0.00024594415885346256,2.893460692393677e-05,4.3942405605759334e-05,0.00048393429132294644,0.015,2.6190000000000024,EGM5,RBA_standard
0.015EGM6,14.550000000000011,17.349912998373178,3.380675723071647,0.0004839342913229464,0.0004839342913229464,5.88062500000001e-05,0.0025244123412633,0.00024594415885346256,2.8934606923936775e-05,4.224746363249326e-05,0.0005048189241587554,0.015,2.6190000000000024,EGM6,RBA_standard
0.015EGM7,14.550000000000013,17.349912998373178,3.380675723071647,0.0004839342913229464,0.0004839342913229464,6.903887182002748e-05,0.0025244123412632995,0.00024594415885346256,2.893460692393677e-05,4.2247463632493255e-05,0.0004839342913229464,0.015,2.6190000000000024,EGM7,RBA_standard
0.015EGM8,14.550000000000013,17.349912998373178,3.380675723071647,0.0004839342913229464,0.0004839342913229464,5.88062500000001e-05,0.0025257682948419125,0.00024594415885346256,2.893460692393677e-05,4.2247463632493255e-05,0.0004839342913229464,0.015,2.6190000000000024,EGM8,RBA_standard
0.02EGM1,14.527777777777793,17.347459979225622,3.3633388865044576,0.0004839089622419678,0.0004839089622419678,5.8626757544581736e-05,0.002520200435870836,0.0002443091996724768,2.8742258784997273e-05,4.2180731208758235e-05,0.0004839089622419678,0.02,2.6150000000000024,EGM1,RBA_standard
0.02EGM2,14.527777777777793,17.349052336957474,3.3625327230452307,0.0004837929734177321,0.0004837929734177321,5.8626757544581736e-05,0.0025204317700635464,0.0002445929423371693,2.8735369512298325e-05,4.217062084957902e-05,0.0004837929734177321,0.02,2.6150000000000024,EGM2,RBA_standard
0.02EGM3,14.527777777777793,17.34905233695747,3.3625327230452307,0.00048379297341773214,0.00048379297341773214,5.862675754458174e-05,0.0025204317700635464,0.0002442506408545358,2.921241917720365e-05,4.217062084957902e-05,0.00048379297341773214,0.02,2.6150000000000024,EGM3,RBA_standard
0.02EGM4,14.527777777777793,17.34730086524473,3.363419441190557,0.000483920552252927,0.0004837017185701282,5.862675754458173e-05,0.0025201773201452785,0.0002443150510753699,2.8742947185337633e-05,4.216266646869622e-05,0.0004837017185701282,0.02,2.6150000000000024,EGM4,RBA_standard
0.02EGM5,14.527777777777795,17.34905233695747,3.36253272304523,0.0004837929734177321,0.0004837929734177321,5.862675754458174e-05,0.0025204317700635464,0.0002442506408545357,2.8735369512298325e-05,4.259849770287103e-05,0.0004837929734177321,0.02,2.6150000000000024,EGM5,RBA_standard
