"","X","vIG","vEAA","vENT","vRNAP","vRNase","vAF","wIG","wEAA","wENT","wRNAP","wRNase","wAF","wrP","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","C","growth_rate","prot_fraction","EGVs","name"
"4865","EGM5",0.000669078657529559,0.000675033161473757,0.000217629093147613,0.00216337921338086,0.00216333126697127,4.79464095840834e-08,1.24351736100432e-13,4.51650281466795e-12,7.280549074129e-13,2.57650215625748e-08,3.73291754970176e-09,1.92479516147285e-13,4.79464095840834e-08,0,0,0,0,0,0,0,0,25.5822869099088,0,1,0.000120434158355321,0.36,"EGM5","deg_hill-2_glc"
"4866","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,2.83286333021467e-07,2.07071892620946e-12,0,0,0,0,0,0,0,8.49858999039464e-06,0,0,1,0.000120434158355321,0.36,"EGM6","deg_hill-2_glc"
"4867","EGM7",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,1.45442916327491e-07,0,1.45440845608565e-07,0,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM7","deg_hill-2_glc"
"4868","EGM8",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.71024269207821e-06,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,1.10823718388676,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM8","deg_hill-2_glc"
"4869","EGM9",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,2.26636458939977e-07,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0.00407932319538943,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM9","deg_hill-2_glc"
"4870","EGM10",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26629066441967e-07,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0.00815864639077885,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM10","deg_hill-2_glc"
"9671","EGM1",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,0.0256560882252938,0.0256560882232231,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.05554228425345e-07,4.42706410466899e-08,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,0,0,0,0,3.08986513357631e-06,1,0.000120434158355321,0.36,"EGM1","deg_hill-6_glc"
"9672","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.1584353133239e-07,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,3.19391410152023e-06,0,0,0,0,1,0.000120434158355321,0.36,"EGM2","deg_hill-6_glc"
"9673","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,1.35894126582941e-06,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,0,9.48473013902865e-05,0,0,0,1,0.000120434158355321,0.36,"EGM3","deg_hill-6_glc"
"9674","EGM4",0.000669078657529558,0.000371380886669314,0.000371359227628264,8.18157729614335e-08,6.93124581546006e-13,4.05927229942945e-17,1.24351736100432e-13,2.48483025084842e-12,1.24234266741366e-12,9.74394660664125e-13,1.1960151244914e-18,1.62958347638951e-22,4.05927229942945e-17,8.18150797962592e-08,0,0,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM4","deg_hill-6_glc"
