,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.79EGM4,3.0062451212114053e-17,-1.456358747609081e-16,0.0,0.0009898685115996746,0.0,0.0016052025548695971,0.32763511347205637,0.016422297019091425,0.0013863093809419439,0.010508125446963952,0.6414530836144497,2.659,EGM4,0.79
0.79EGM5,-7.515612803028514e-17,0.0,2.708125813357941e-17,0.0,0.0,0.0016052025548695971,0.3278398343671251,0.0163186529059354,0.00137756012947118,0.010770083075035483,0.642088666967536,2.659,EGM5,0.79
0.79EGM6,-7.515612803028514e-17,7.281793738045405e-17,0.0,0.0,0.00025154565909541067,0.0016052025548695971,0.3278398343671251,0.016318652905935403,0.0013775601294711804,0.010518537415940075,0.6420886669675361,2.659,EGM6,0.79
0.79EGM7,-7.515612803028514e-17,0.0,2.708125813357941e-17,0.0,0.0,0.0018567482139650046,0.3278398343671251,0.0163186529059354,0.00137756012947118,0.010518537415940075,0.642088666967536,2.659,EGM7,0.79
0.79EGM8,-7.515612803028514e-17,-1.456358747609081e-16,2.708125813357941e-17,0.0,0.0,0.0016052025548695971,0.32809138002622046,0.0163186529059354,0.00137756012947118,0.010518537415940075,0.642088666967536,2.659,EGM8,0.79
0.795EGM1,0.0,-7.301014158922598e-17,-2.715273958415824e-17,0.0,0.0,0.0016009767489711063,0.32770052743334427,0.015909277797321618,0.0013430022017503712,0.010504779720221732,0.6429414360983637,2.652,EGM1,0.795
0.795EGM2,3.014180157353366e-17,-1.4602028317845196e-16,0.0,0.0,0.0,0.0016009767489711065,0.32771309381630725,0.01615855612969041,0.001342465146436189,0.010500578946935051,0.642684329211633,2.652,EGM2,0.795
0.795EGM3,-9.042540472060098e-17,-7.301014158922598e-17,0.0,0.0,0.0,0.0016009767489711065,0.32771309381630725,0.015902915810591646,0.001598105465534948,0.010500578946935051,0.6426843292116328,2.652,EGM3,0.795
0.795EGM4,-1.507090078676683e-17,0.0,0.0,0.0010086179660320285,0.0,0.0016009767489711065,0.32750430171355416,0.01600862105536678,0.0013513883909906004,0.010489987874355435,0.6420361062507027,2.652,EGM4,0.795
0.795EGM5,3.014180157353366e-17,-7.301014158922598e-17,0.0,0.0,0.0,0.0016009767489711065,0.32771309381630725,0.015902915810591646,0.001342465146436189,0.010756219266033812,0.642684329211633,2.652,EGM5,0.795
0.795EGM6,-1.9592171022796877e-16,7.301014158922598e-17,-2.715273958415824e-17,0.0,0.00025564031909870385,0.0016009767489711063,0.32771309381630725,0.015902915810591646,0.0013424651464361888,0.010500578946935051,0.6426843292116328,2.652,EGM6,0.795
0.795EGM7,3.014180157353366e-17,-7.301014158922598e-17,0.0,0.0,0.0,0.0018566170680698656,0.32771309381630725,0.015902915810591646,0.001342465146436189,0.010500578946935051,0.642684329211633,2.652,EGM7,0.795
