,x,mu,vmax
81,0.8200000000000001,0.41,2e-05
82,0.8300000000000001,0.409,2e-05
83,0.8400000000000001,0.409,2e-05
84,0.85,0.409,2e-05
85,0.86,0.409,2e-05
86,0.87,0.408,2e-05
87,0.88,0.408,2e-05
88,0.89,0.408,2e-05
89,0.9,0.408,2e-05
90,0.91,0.408,2e-05
91,0.92,0.407,2e-05
92,0.93,0.407,2e-05
93,0.9400000000000001,0.407,2e-05
94,0.9500000000000001,0.407,2e-05
95,0.9600000000000001,0.406,2e-05
96,0.97,0.406,2e-05
97,0.98,0.406,2e-05
98,0.99,0.406,2e-05
0,0.01,0.13,2e-06
1,0.02,0.13,2e-06
2,0.03,0.13,2e-06
3,0.04,0.13,2e-06
4,0.05,0.13,2e-06
5,0.060000000000000005,0.13,2e-06
6,0.06999999999999999,0.13,2e-06
7,0.08,0.13,2e-06
8,0.09,0.13,2e-06
9,0.09999999999999999,0.13,2e-06
10,0.11,0.13,2e-06
11,0.12,0.13,2e-06
12,0.13,0.13,2e-06
13,0.14,0.13,2e-06
14,0.15000000000000002,0.13,2e-06
15,0.16,0.13,2e-06
16,0.17,0.13,2e-06
17,0.18000000000000002,0.13,2e-06
18,0.19,0.13,2e-06
19,0.2,0.13,2e-06
20,0.21000000000000002,0.13,2e-06
21,0.22,0.13,2e-06
22,0.23,0.13,2e-06
23,0.24000000000000002,0.13,2e-06
24,0.25,0.13,2e-06
25,0.26,0.13,2e-06
26,0.27,0.13,2e-06
27,0.28,0.13,2e-06
28,0.29000000000000004,0.13,2e-06
29,0.3,0.129,2e-06
30,0.31,0.129,2e-06
31,0.32,0.129,2e-06
32,0.33,0.129,2e-06
33,0.34,0.129,2e-06
34,0.35000000000000003,0.129,2e-06
35,0.36000000000000004,0.129,2e-06
36,0.37,0.129,2e-06
37,0.38,0.129,2e-06
38,0.39,0.129,2e-06
39,0.4,0.129,2e-06
40,0.41000000000000003,0.129,2e-06
41,0.42000000000000004,0.129,2e-06
42,0.43,0.129,2e-06
43,0.44,0.129,2e-06
44,0.45,0.129,2e-06
45,0.46,0.129,2e-06
46,0.47000000000000003,0.129,2e-06
47,0.48000000000000004,0.129,2e-06
48,0.49,0.129,2e-06
49,0.5,0.129,2e-06
50,0.51,0.129,2e-06
51,0.52,0.129,2e-06
52,0.53,0.129,2e-06
53,0.54,0.129,2e-06
54,0.55,0.129,2e-06
55,0.56,0.129,2e-06
56,0.5700000000000001,0.129,2e-06
57,0.5800000000000001,0.129,2e-06
58,0.59,0.129,2e-06
59,0.6,0.129,2e-06
60,0.61,0.129,2e-06
61,0.62,0.129,2e-06
62,0.63,0.129,2e-06
63,0.64,0.129,2e-06
64,0.65,0.129,2e-06
65,0.66,0.129,2e-06
66,0.67,0.129,2e-06
67,0.68,0.129,2e-06
68,0.6900000000000001,0.129,2e-06
69,0.7000000000000001,0.129,2e-06
70,0.7100000000000001,0.129,2e-06
71,0.72,0.129,2e-06
