,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
0.02EGM2,17.022222222221572,24.034996564757897,2.0630997419473855,0.00029683373838222584,0.00029683373838222584,8.048779149519275e-05,0.002045645263178205,0.00017736249634860339,0.0002065796604355081,3.0316619146770175e-05,0.00029683373838222584,0.02,3.064,EGM2
0.02EGM3,17.022222222221572,24.034996564757897,2.0630997419473855,0.00029683373838222584,0.00029683373838222584,8.048779149519275e-05,0.002045645263178205,0.00017559271137018189,0.00020674409157272564,3.0316619146770175e-05,0.00029683373838222584,0.02,3.064,EGM3
0.02EGM4,17.022222222221572,24.032809342547296,2.0642070676369144,0.00029699305769061726,0.00029678923002787847,8.048779149519275e-05,0.0020454591062656143,0.00017568695708997955,0.00020669053775291708,3.0312073360179494e-05,0.00029678923002787847,0.02,3.064,EGM4
0.02EGM5,17.022222222221572,24.034996564757897,2.0630997419473855,0.00029683373838222584,0.00029683373838222584,8.048779149519275e-05,0.002045645263178205,0.00017559271137018189,0.00020657966043550807,3.252885036979706e-05,0.00029683373838222584,0.02,3.064,EGM5
0.02EGM6,17.022222222221572,24.0349965647579,2.0630997419473855,0.0002968337383822259,0.0002968337383822259,8.048779149519277e-05,0.002045645263178205,0.0001755927113701819,0.0002065796604355081,3.031661914677018e-05,0.00031727764040198077,0.02,3.064,EGM6
0.02EGM7,17.022222222221572,24.034996564757897,2.0630997419473855,0.00029683373838222584,0.00029683373838222584,9.384336699024667e-05,0.002045645263178205,0.00017559271137018189,0.0002065796604355081,3.0316619146770175e-05,0.00029683373838222584,0.02,3.064,EGM7
0.02EGM8,17.022222222221572,24.034996564757897,2.0630997419473855,0.00029683373838222584,0.00029683373838222584,8.048779149519275e-05,0.0020474150481566266,0.00017559271137018189,0.0002065796604355081,3.0316619146770175e-05,0.00029683373838222584,0.02,3.064,EGM8
0.025EGM1,17.038888888888234,24.069822069864593,2.0594026678339135,0.0002978213088867505,0.0002978213088867505,8.064548182441083e-05,0.002050615119118663,0.00017544966617351028,0.00020641137196883563,3.0447265145187627e-05,0.0002978213088867505,0.025,3.067,EGM1
0.025EGM2,17.038888888888238,24.07170272822079,2.058450546325203,0.0002976836174685678,0.0002976836174685678,8.064548182441083e-05,0.0020507753407625093,0.00017692380842834494,0.0002063159420123907,3.043318849253541e-05,0.0002976836174685678,0.025,3.067,EGM2
0.025EGM3,17.038888888888238,24.07170272822079,2.058450546325203,0.0002976836174685678,0.0002976836174685678,8.064548182441083e-05,0.0020507753407625093,0.0001753685507105321,0.00020646044137153567,3.043318849253541e-05,0.0002976836174685678,0.025,3.067,EGM3
0.025EGM4,17.038888888888238,24.069780745843136,2.0594235889595,0.00029782433440337383,0.0002976444682546716,8.064548182441083e-05,0.002050611598541613,0.00017545144853718181,0.00020641346886727272,3.0429186137901424e-05,0.0002976444682546716,0.025,3.067,EGM4
0.025EGM5,17.038888888888234,24.07170272822079,2.058450546325203,0.0002976836174685678,0.0002976836174685678,8.064548182441083e-05,0.0020507753407625093,0.0001753685507105321,0.0002063159420123907,3.237726063980149e-05,0.0002976836174685678,0.025,3.067,EGM5
0.025EGM6,17.038888888888238,24.071702728220792,2.058450546325203,0.0002976836174685678,0.0002976836174685678,8.064548182441084e-05,0.0020507753407625093,0.0001753685507105321,0.00020631594201239072,3.0433188492535414e-05,0.00031205622737818183,0.025,3.067,EGM6
0.025EGM7,17.038888888888238,24.07170272822079,2.058450546325203,0.0002976836174685678,0.0002976836174685678,9.238214029861777e-05,0.0020507753407625093,0.0001753685507105321,0.0002063159420123907,3.043318849253541e-05,0.0002976836174685678,0.025,3.067,EGM7
0.025EGM8,17.038888888888238,24.07170272822079,2.058450546325203,0.0002976836174685678,0.0002976836174685678,8.064548182441083e-05,0.0020523305984803224,0.0001753685507105321,0.0002063159420123907,3.043318849253541e-05,0.0002976836174685678,0.025,3.067,EGM8
0.03EGM1,17.0555555555549,24.106833278187622,2.0545990370526286,0.00029865821054063987,0.00029865821054063987,8.080332647461657e-05,0.0020557771712231433,0.00017521164010420354,0.00020613134129906304,3.056269021199097e-05,0.00029865821054063987,0.03,3.07,EGM1
0.03EGM2,17.055555555554903,24.108490478223146,2.05376004585954,0.00029853625408886097,0.00029853625408886097,8.080332647461657e-05,0.0020559184935595057,0.00017651414112385496,0.00020604716799962571,3.0550210001758933e-05,0.00029853625408886097,0.03,3.07,EGM2
0.03EGM3,17.055555555554903,24.108490478223146,2.05376004585954,0.00029853625408886097,0.00029853625408886097,8.080332647461657e-05,0.0020559184935595057,0.00017514009279968182,0.00020617483115152856,3.0550210001758933e-05,0.00029853625408886097,0.03,3.07,EGM3
0.03EGM4,17.0555555555549,24.10679253117453,2.054619666056007,0.0002986612091895845,0.0002985016344616899,8.080332647461657e-05,0.0020557736964084156,0.0001752133992997694,0.00020613341094090522,3.054666725991176e-05,0.0002985016344616899,0.03,3.07,EGM4
0.03EGM5,17.0555555555549,24.108490478223146,2.05376004585954,0.00029853625408886097,0.00029853625408886097,8.080332647461657e-05,0.002055918493559506,0.00017514009279968182,0.00020604716799962571,3.226777040697536e-05,0.00029853625408886097,0.03,3.07,EGM5
0.03EGM6,17.0555555555549,24.108490478223146,2.05376004585954,0.00029853625408886097,0.00029853625408886097,8.080332647461655e-05,0.0020559184935595057,0.00017514009279968182,0.0002060471679996257,3.0550210001758933e-05,0.00030911791971578126,0.03,3.07,EGM6
0.03EGM7,17.055555555554903,24.108490478223146,2.05376004585954,0.00029853625408886097,0.00029853625408886097,9.117249919960735e-05,0.0020559184935595057,0.00017514009279968182,0.00020604716799962571,3.0550210001758933e-05,0.00029853625408886097,0.03,3.07,EGM7
0.03EGM8,17.055555555554903,24.108490478223146,2.05376004585954,0.00029853625408886097,0.00029853625408886097,8.080332647461657e-05,0.002057292541883679,0.00017514009279968182,0.00020604716799962571,3.0550210001758933e-05,0.00029853625408886097,0.03,3.07,EGM8
0.035EGM1,17.072222222221566,24.143884944603684,2.04977492353962,0.0002995007919368772,0.0002995007919368772,8.096132544580998e-05,0.0020609488454101186,0.0001749710650010281,0.00020584831176591542,3.067886445406627e-05,0.0002995007919368772,0.035,3.073,EGM1
0.035EGM2,17.072222222221566,24.145360217241024,2.0490280367887124,0.0002993916613338948,0.0002993916613338948,8.096132544580998e-05,0.002061074776321634,0.00017613373228309452,0.00020577330578599583,3.066768584263411e-05,0.0002993916613338948,0.035,3.073,EGM2
0.035EGM3,17.072222222221566,24.145360217241024,2.0490280367887124,0.0002993916613338948,0.0002993916613338948,8.096132544580998e-05,0.002061074776321634,0.00017490730991809645,0.00020588725297542533,3.066768584263411e-05,0.0002993916613338948,0.035,3.073,EGM3
0.035EGM4,17.07222222222157,24.143844780673106,2.0497952573456284,0.0002995037629903975,0.0002993607327389009,8.096132544580996e-05,0.002060945416972378,0.00017497280071730205,0.00020585035378506124,3.0664517723553566e-05,0.0002993607327389009,0.035,3.073,EGM4
0.035EGM5,17.07222222222157,24.145360217241027,2.049028036788713,0.00029939166133389485,0.00029939166133389485,8.096132544580996e-05,0.002061074776321634,0.00017490730991809647,0.00020577330578599583,3.2200713798881666e-05,0.00029939166133389485,0.035,3.073,EGM5
0.035EGM6,17.07222222222157,24.14536021724103,2.049028036788713,0.0002993916613338948,0.0002993916613338948,8.096132544580996e-05,0.002061074776321634,0.00017490730991809647,0.00020577330578599586,3.066768584263412e-05,0.0003074871915724145,0.035,3.073,EGM6
