,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
1e-05EGM18,14.111111111111121,16.267301357798182,3.56184,0.0005022244622446224,0.0005022077785373079,5.5312071330589935e-05,0.0011477484846890947,0.0002513076000000002,0.00019710400000000014,0.0013230142524129744,0.0005022077785373079,1e-05,2.54,EGM18
1e-05EGM19,14.111111111111121,16.267301357798182,3.56184,0.0005022244622446224,0.0005022077785373079,5.5312071330589935e-05,0.0011477484846890947,0.0012757027950641197,0.00019710400000000014,4.252025858282543e-05,0.0005022077785373079,1e-05,2.54,EGM19
1e-05EGM20,14.111111111111121,16.267301357798182,3.5618399999999997,0.0005022244622446223,0.0005022244622446223,5.5312071330589935e-05,0.001147748484689095,0.0002513076000000002,0.0001971040000000001,0.0013230142515103039,0.0005022244622446223,1e-05,2.54,EGM20
0.005EGM1,14.133333333333347,16.306218858287664,3.5607159519119675,0.0005045838685623995,0.0005045838685623995,5.5486419753086514e-05,0.0011523061326523293,0.0002516239272684459,0.000197352099818389,0.0013133143792816574,0.0005045838685623995,0.005,2.544,EGM1
0.005EGM2,14.133333333333345,16.303998605504606,3.5618399999999997,0.0005047431557788944,0.0005047431557788944,5.548641975308651e-05,0.0011521492347889933,0.0012674563923688873,0.0001974144000000001,4.280221961005028e-05,0.0005047431557788944,0.005,2.544,EGM2
0.005EGM3,14.133333333333347,16.306218858287664,3.5607159519119675,0.0005045838685623995,0.0005045838685623995,5.5486419753086514e-05,0.0011523061326523293,0.0002516239272684459,0.000197352099818389,4.2788712054091516e-05,0.04746984135886138,0.005,2.544,EGM3
0.005EGM4,14.133333333333345,16.303998605504606,3.5618399999999997,0.0005047431557788944,0.000504451470470024,5.548641975308651e-05,0.002167928367732945,0.0002517033600000002,0.00019741440000000014,4.277748469585807e-05,0.000504451470470024,0.005,2.544,EGM4
0.005EGM5,14.133333333333347,16.306218858287664,3.5607159519119675,0.0005045838685623995,0.0005045838685623995,5.5486419753086514e-05,0.002168726666434382,0.0002516239272684459,0.000197352099818389,4.2788712054091516e-05,0.0005045838685623995,0.005,2.544,EGM5
0.005EGM6,14.133333333333347,16.306218858287664,3.5607159519119675,0.0005045838685623995,0.0005045838685623995,0.007725842615089785,0.0011523061326523293,0.0002516239272684459,0.000197352099818389,4.2788712054091516e-05,0.0005045838685623995,0.005,2.544,EGM6
0.005EGM7,14.133333333333345,16.303998605504606,3.5618399999999997,0.0005047431557788944,0.000504451470470024,0.007721002322387399,0.001152149234788993,0.0002517033600000002,0.00019741440000000014,4.277748469585807e-05,0.000504451470470024,0.005,2.544,EGM7
