,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.61EGM6,-6.739971144436026e-17,-1.3604756569324572e-16,0.0,0.0,3.117680960697441e-05,0.002147916769547118,0.44523859954400924,0.018516280305146,0.23446135206298888,0.006426573595139904,0.2931781009135137,3.558,EGM6,0.61
0.61EGM7,-6.739971144436026e-17,-5.4419026277298286e-17,0.0,0.0,0.0,0.002179093579154107,0.4452385995440092,0.018516280305145995,0.23446135206298893,0.006426573595139904,0.29317810091351365,3.558,EGM7,0.61
0.61EGM8,-6.739971144436026e-17,-1.0883805255459657e-16,0.0,0.0,0.0,0.0021479167695471185,0.44526977635361614,0.018516280305145995,0.23446135206298893,0.006426573595139904,0.29317810091351365,3.558,EGM8,0.61
0.615EGM1,2.2428747972225384e-17,-1.3581852938736483e-16,-4.0409127596626065e-17,0.0,0.0,0.0021515388888886803,0.4463451514614047,0.018367410546687387,0.23257629716674202,0.0064576953028561155,0.2941019066333726,3.564,EGM1,0.615
0.615EGM2,-2.2428747972225384e-17,-8.14911176324189e-17,-2.0204563798313033e-17,0.0,0.0,0.0021515388888886807,0.44635185424796403,0.01845920585983752,0.23253332815387512,0.006456502228600746,0.29404757062078546,3.564,EGM2,0.615
0.615EGM3,-2.2428747972225384e-17,-1.3581852938736483e-16,-2.0204563798313033e-17,0.0,0.0,0.0021515388888886807,0.44635185424796403,0.018364017124787878,0.23262851688892475,0.006456502228600746,0.29404757062078546,3.564,EGM3,0.615
0.615EGM4,-5.607186993056347e-17,0.0,-2.0204563798313033e-17,3.998340670496671e-05,0.0,0.0021515388888886807,0.44634049346396404,0.018369768752544445,0.23260615781502433,0.006456244075646248,0.29403581359717873,3.564,EGM4,0.615
0.615EGM5,-2.2428747972225384e-17,5.432741175494593e-17,-2.0204563798313033e-17,0.0,0.0,0.0021515388888886807,0.44635185424796403,0.018364017124787878,0.23253332815387512,0.00655169096365039,0.29404757062078546,3.564,EGM5,0.615
0.615EGM6,-2.2428747972225384e-17,2.7163705877472965e-17,-2.0204563798313033e-17,0.0,9.518873504965328e-05,0.0021515388888886807,0.44635185424796403,0.018364017124787874,0.23253332815387512,0.006456502228600746,0.29404757062078546,3.564,EGM6,0.615
0.615EGM7,-2.2428747972225384e-17,-8.14911176324189e-17,-2.0204563798313033e-17,0.0,0.0,0.002246727623938324,0.44635185424796403,0.018364017124787878,0.23253332815387512,0.006456502228600746,0.29404757062078546,3.564,EGM7,0.615
0.615EGM8,-2.2428747972225384e-17,-8.14911176324189e-17,-2.0204563798313033e-17,0.0,0.0,0.0021515388888886807,0.4464470429830137,0.018364017124787878,0.23253332815387512,0.006456502228600746,0.29404757062078546,3.564,EGM8,0.615
0.62EGM1,-1.1195526298741074e-16,2.7118052590283935e-17,0.0,0.0,0.0,0.002155161008230244,0.44745632876343944,0.01821619909326518,0.23066159069046727,0.006488801866485196,0.29502191857806415,3.57,EGM1,0.62
0.62EGM2,-1.1195526298741075e-17,5.423610518056787e-17,0.0,0.0,0.0,0.002155161008230244,0.44746867032319027,0.018386392902707112,0.23058247364936177,0.006486576204195868,0.29492072591226615,3.57,EGM2,0.62
0.62EGM3,-1.1195526298741075e-17,2.7118052590283935e-17,0.0,0.0,0.0,0.002155161008230244,0.44746867032319027,0.01820995092785483,0.23075891562421402,0.006486576204195868,0.29492072591226615,3.57,EGM3,0.62
0.62EGM4,2.239105259748215e-17,-5.423610518056787e-17,0.0,7.398622351763861e-05,0.0,0.002155161008230244,0.44744758564062825,0.018220625476852825,0.23071763952228477,0.006486096286918959,0.29489890584151884,3.57,EGM4,0.62
0.62EGM5,1.679328944811161e-16,-1.0847221036113574e-16,0.0,0.0,0.0,0.002155161008230244,0.44746867032319027,0.01820995092785483,0.23058247364936177,0.006663018179048149,0.29492072591226615,3.57,EGM5,0.62
0.62EGM6,-1.1195526298741075e-17,-1.0847221036113574e-16,2.0170606548231834e-17,0.0,0.00017644197485227795,0.002155161008230244,0.44746867032319027,0.018209950927854827,0.23058247364936177,0.006486576204195868,0.29492072591226615,3.57,EGM6,0.62
0.62EGM7,-1.1195526298741075e-17,1.0847221036113574e-16,0.0,0.0,0.0,0.0023316029830825254,0.44746867032319027,0.01820995092785483,0.23058247364936177,0.006486576204195868,0.29492072591226615,3.57,EGM7,0.62
0.62EGM8,-1.1195526298741075e-17,0.0,0.0,0.0,0.0,0.002155161008230244,0.4476451122980426,0.01820995092785483,0.23058247364936177,0.006486576204195868,0.29492072591226615,3.57,EGM8,0.62
0.625EGM1,-1.0059067672778263e-16,2.7072552502045203e-17,2.0136763248654264e-17,0.0,0.0,0.0021587831275718065,0.4485699649197485,0.01806374279490145,0.2287311214355304,0.006520288599247628,0.2959560991229515,3.576,EGM1,0.625
0.625EGM2,-2.123580953142078e-16,2.7072552502045203e-17,0.0,0.0,0.0,0.0021587831275718065,0.4485890740657424,0.0183291322998403,0.2286086199754552,0.0065167965301819635,0.2957975940011597,3.576,EGM2,0.625
0.625EGM3,-2.123580953142078e-16,0.0,0.0,0.0,0.0,0.0021587831275718065,0.4485890740657424,0.018054068401434965,0.22888368387386054,0.0065167965301819635,0.2957975940011597,3.576,EGM3,0.625
0.625EGM4,-1.1176741858642515e-17,2.7072552502045203e-17,2.0136763248654264e-17,0.00011514242566838082,0.0,0.0021587831275718065,0.4485561630774469,0.018070730258026763,0.22881959979213606,0.00651604617042189,0.2957635351486795,3.576,EGM4,0.625
0.625EGM5,-3.353022557592755e-17,-2.7072552502045203e-17,0.0,0.0,0.0,0.0021587831275718065,0.44858907406574233,0.018054068401434965,0.22860861997545515,0.006791860428587302,0.2957975940011597,3.576,EGM5,0.625
0.625EGM6,-3.353022557592755e-17,-8.121765750613562e-17,0.0,0.0,0.00027506389840534424,0.0021587831275718065,0.4485890740657424,0.018054068401434965,0.2286086199754552,0.0065167965301819635,0.2957975940011597,3.576,EGM6,0.625
0.625EGM7,-2.123580953142078e-16,-2.7072552502045203e-17,0.0,0.0,0.0,0.0024338470259771456,0.4485890740657424,0.018054068401434965,0.2286086199754552,0.0065167965301819635,0.2957975940011597,3.576,EGM7,0.625
