,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,growth_rate,EGVs,prot_fraction,name
0.515EGM8,-2.965938766146625e-16,1.3591659330749998e-16,-1.4442251379299555e-17,0.0,0.0,0.0015049905864197544,0.6300463341556342,0.0114735889779024,0.1452836714740365,0.003202195884636843,0.20848921892137032,2.493000000000002,EGM8,0.515,RBA_reverse
0.52EGM1,-7.208662524620247e-17,1.9401091732928567e-16,0.0,0.0,0.0,0.001506197959533609,0.6307369908467878,0.01138910163577996,0.14421385528310693,0.003211726661289949,0.20894212761350153,2.4950000000000023,EGM1,0.52,RBA_reverse
0.52EGM2,-8.009625027355831e-17,2.3281310079514287e-16,1.4430674424286088e-17,0.0,0.0,0.0015061979595336092,0.6307552283671696,0.0115153173063817,0.14415539838305413,0.00321042479203427,0.2088574331918265,2.4950000000000023,EGM2,0.52,RBA_reverse
0.52EGM3,4.805775016413499e-17,1.1640655039757143e-16,0.0,0.0,0.0,0.0015061979595336092,0.6307552283671697,0.01138448507813571,0.14428623061130014,0.00321042479203427,0.20885743319182656,2.4950000000000023,EGM3,0.52,RBA_reverse
0.52EGM4,-1.842213756291841e-16,1.5520873386342855e-16,1.4430674424286088e-17,7.349088285382683e-05,0.0,0.0015061979595336092,0.6307255647362322,0.01139199398610642,0.14425047950552125,0.0032101888550819676,0.20884208407467067,2.4950000000000023,EGM4,0.52,RBA_reverse
0.52EGM5,4.805775016413499e-17,-1.940109173292857e-17,0.0,0.0,0.0,0.001506197959533609,0.6307552283671697,0.01138448507813571,0.14415539838305413,0.0033412570202802604,0.20885743319182656,2.4950000000000023,EGM5,0.52,RBA_reverse
0.52EGM6,3.2038500109423325e-17,3.880218346585714e-17,1.4430674424286088e-17,0.0,0.00013083222824598353,0.0015061979595336092,0.6307552283671698,0.011384485078135711,0.14415539838305416,0.00321042479203427,0.20885743319182656,2.4950000000000023,EGM6,0.52,RBA_reverse
0.52EGM7,-8.009625027355831e-17,1.9401091732928567e-16,1.4430674424286088e-17,0.0,0.0,0.0016370301877795992,0.6307552283671696,0.011384485078135708,0.14415539838305413,0.00321042479203427,0.2088574331918265,2.4950000000000023,EGM7,0.52,RBA_reverse
0.52EGM8,-8.009625027355831e-17,1.1640655039757143e-16,1.4430674424286088e-17,0.0,0.0,0.0015061979595336092,0.6308860605954156,0.011384485078135708,0.14415539838305413,0.00321042479203427,0.2088574331918265,2.4950000000000023,EGM8,0.52,RBA_reverse
0.525EGM1,-1.6006419257711493e-17,7.754220884846902e-17,0.0,0.0,0.0,0.0015074053326474635,0.6316397482426428,0.011297696876185098,0.14305644768468942,0.0032194868403377153,0.2092792150234972,2.497000000000002,EGM1,0.525,RBA_reverse
0.525EGM2,-5.602246740199023e-17,-7.754220884846902e-17,0.0,0.0,0.0,0.0015074053326474635,0.6316509459366849,0.011375706015711754,0.1430205556079308,0.0032186790887776357,0.2092267080182473,2.497000000000002,EGM2,0.525,RBA_reverse
0.525EGM3,-5.602246740199023e-17,-3.877110442423451e-17,0.0,0.0,0.0,0.0015074053326474635,0.6316509459366849,0.011294862346109463,0.14310139927753313,0.0032186790887776357,0.20922670801824728,2.497000000000002,EGM3,0.525,RBA_reverse
