,wIG,wEAA,wENT,wRNAP,wAF,wrP,prot_fraction,name
0.015EGM5,0.0027194639729662736,0.8809722335676302,0.08582986678381475,0.007245438890130533,0.01226805576317782,0.010964941022280482,0.015,RBA_standard
0.015EGM6,0.0027194639729662736,0.8809722335676302,0.08582986678381475,0.007245438890130535,0.011794853571428595,0.011438143214029708,0.015,RBA_standard
0.015EGM7,0.0031926661647155,0.88097223356763,0.08582986678381475,0.007245438890130533,0.011794853571428591,0.010964941022280482,0.015,RBA_standard
0.015EGM8,0.0027194639729662736,0.8814454357593793,0.08582986678381475,0.007245438890130533,0.011794853571428591,0.010964941022280482,0.015,RBA_standard
0.02EGM1,0.0027071643706576376,0.8782050589198799,0.08513353622165326,0.007186657247742821,0.011758852513227534,0.014597592349885941,0.02,RBA_standard
0.02EGM2,0.0027078134102874346,0.8784962391099739,0.08525284536888235,0.007186657247742823,0.011758852513227535,0.014597592349885941,0.02,RBA_standard
0.02EGM3,0.002707813410287435,0.8784962391099739,0.08513353622165327,0.0073059663949719125,0.011758852513227535,0.014597592349885941,0.02,RBA_standard
0.02EGM4,0.002708324264581742,0.8785732704065183,0.08517205186992541,0.007189908595861214,0.011758852513227537,0.014597592349885941,0.02,RBA_standard
0.02EGM5,0.002707813410287435,0.8784962391099739,0.08513353622165326,0.007186657247742823,0.011878161660456629,0.014597592349885941,0.02,RBA_standard
0.02EGM6,0.002707813410287435,0.8784962391099741,0.08513353622165327,0.007186657247742822,0.011758852513227537,0.014716901497115038,0.02,RBA_standard
0.02EGM7,0.002827122557516526,0.8784962391099739,0.08513353622165326,0.007186657247742823,0.011758852513227535,0.014597592349885941,0.02,RBA_standard
0.02EGM8,0.0027078134102874346,0.878615548257203,0.08513353622165326,0.007186657247742823,0.011758852513227535,0.014597592349885941,0.02,RBA_standard
0.025EGM1,0.0026933650981071076,0.8750084793309946,0.08437559365501537,0.007122674548542837,0.011713928571428596,0.01821210135430321,0.025,RBA_standard
0.025EGM2,0.002694741967041451,0.8756261873100315,0.08463036624865249,0.007122674548542835,0.011713928571428594,0.018212101354303206,0.025,RBA_standard
0.025EGM3,0.002694741967041451,0.8756261873100315,0.08437559365501539,0.007377447142179949,0.011713928571428594,0.018212101354303206,0.025,RBA_standard
0.025EGM4,0.0026958328446191897,0.8757906798377847,0.08445783991889205,0.007129617472972172,0.011713928571428594,0.01821210135430321,0.025,RBA_standard
0.025EGM5,0.0026947419670414505,0.8756261873100314,0.08437559365501537,0.007122674548542834,0.011968701165065708,0.018212101354303206,0.025,RBA_standard
